smiles,Tm
FC1=C(F)C(F)(F)C1(F)F,213.15
c1ccc2c(c1)ccc3Nc4ccccc4c23,407.15
CCN1C(C)=Nc2ccccc12,324.15
CC#CC(=O)O,351.15
CCCCC(S)C,126.15
O=N(=O)c1cccc(c1)C(C)(C)C,275.15
CCCCCCCCCCCCCCCCCCCCC1CCCCC1,321.65
CCCOC(=O)CCC(=O)OCCC,267.25
c1ccc2c(c1)Sc3ccccc23,370.15
OCCOC(=O)C=C,213.0
ClCCC(F)(F)F,166.65
O=C1CCCCC1=O,313.15
CCOC(=O)c1ccc2OCOc2c1,291.65
OC(O)C(Cl)(Cl)Cl,330.15
BrCCC,163.15
CCCCCC=CC,193.15
COc1ccccc1NC(=O)C,360.65
CCOC(=O)c1cccc(N)c1,422.65
N#Cc1c(F)c(F)c(F)c(F)c1F,275.55
C=CCCCCCCCCCCCC,261.15
c1ccc2c(c1)ccc3ccccc23,372.35
Brc1ccc(cc1)C(=O)c2ccc(Br)cc2,450.15
C=COC(C)(C)C,161.15
CCOC(=O)C(C)C,184.95
CCOC(=S)C(=S)OCC,300.15
Nc1ccc(N)c(C)c1,337.15
C1CCC(CC1)CCCCCC2CCCCC2,259.55
Clc1ccc(cc1)C(C)C,260.85
CCCCCC(C)CCC,174.15
CN1CCCC1,183.15
N1CCC(CC1)c2ccccc2,333.65
OC(c1ccccc1)(c2ccccc2)c3ccccc3,437.35
Clc1ccc2ccccc2n1,311.15
ClCCOP(=O)(OCCCl)OCCCl,238.15
Sc1ccccc1S,300.15
C=CC=C,164.25
OCCC(C)C,155.95
CCCCCCCCCc1ccc(O)cc1,315.15
Oc1ccc(cc1)Nc2ccccc2,346.15
CCCCCCCC(C)CC,180.25
FC(F)=C(F)F,130.65
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,217.15
CCOCCOC(=O)C=C,226.15
Oc1ccc(O)c(C)c1,401.15
Cl[Si](Cl)Cl,146.65
C=CCN,184.95
CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(O)cc(C)c2O1,498.15
O=C(N)C(Cl)Cl,372.55
Cc1cc2ccccc2cc1C,378.15
O=C(O)C(Cl)(Cl)C,268.15
OCCCCCCCCCCCCCC,312.65
BrC(Br)C(F)F,211.85
Cc1cc(C)c(N(=O)=O)c(C)c1,317.15
CCOc1ccc(OCC)cc1,345.15
Cc1cccc2ncccc12,292.15
Fc1ccc(cc1)N(=O)=O,294.15
CCCC#CCCC,172.15
C=CCCCCCCC,191.85
Cc1ccc(cc1C)c2ccccc2,302.65
O=CN(C)c1ccccc1,287.65
CCCCCCCCCC,243.45
O1COCCC1,228.15
O=Cc1ccccc1OC,310.65
C=CC=CC=C,261.15
O=Cc1ccc(C=O)cc1,390.15
O=N(=O)c1cccc(c1)C(=O)Cl,309.15
Cc1cccc(c1)N(C)C,258.15
Cc1ccc(O)c(c1)C(C)C,309.65
CC=CCCC=CC,197.15
O=C(O)c1cccc(c1)C(F)(F)F,378.65
CCO[Si](Cl)(OCC)OCC,222.15
CCc1cc(C)nc(C)c1,370.15
Clc1cccc(O)c1C,359.15
O=S(=O)(Cl)c1ccccc1,287.65
c1ccc2c(n1)ccc3cccnc23,351.15
Cc1cc(Cl)c2ccccc2n1,315.65
c1ccc2CCOc2c1,251.65
COP(OC)OC,195.15
CC1CC1,95.85
Cc1cnc2ccccc2n1,453.65
CCC(Cl)(Cl)C,199.15
CCOCCOC(=O)C,211.45
CCC(CC)COCCC(=O)O,305.65
O=CF,130.95
Cc1cccc(C)c1,225.35
Nc1cc(C)cc(C)c1,282.95
BrC(C)(C)C,256.95
CCOc1ccc(Br)cc1,277.15
CCNCCCC,195.15
O=Cc1cc(C)ccc1O,329.15
C1=CC=CC=CC=C1,268.45
Oc1ccccc1,314.05
C=C(c1ccccc1)c2ccccc2,281.35
O=C(N)c1ccccc1O,415.15
CC(C)(c1ccccc1)c2ccccc2,302.15
CCCCN(CCCC)c1ccccc1,240.95
C=CCCC(=C)C,144.35
O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,271.15
BrCCCCCCCBr,314.85
O=C(c1ccccc1)c2ccccc2,320.95
C#CCC(C)C,168.55
Cc1ccc(cc1)c2cccc(C)c2,287.65
S=C1NCCN1,476.15
ClC1C=CC2C1C3(Cl)C(Cl)=C(Cl)C2(Cl)C3(Cl)Cl,368.65
CC(C)CC(=O)CC(C)C,227.15
CCCCCCCC(=O)O,512.15
Nc1ccc(cc1)N(=O)=O,420.15
O=S1(=O)CCCC1,300.75
O=N(=O)c1ccccc1C(F)(F)F,305.65
ON=C(C)C,334.15
ClCC(=O)Oc1ccccc1,317.65
Brc1c(Br)c(Br)c(Br)c(C)c1C,535.15
CC1CCCCC1,146.55
O=C1CCCC1,221.85
COc1c(Cl)ccc(Cl)c1Cl,318.15
OC(C)C1CC1,241.05
CNCCCC,198.15
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,369.15
CC(C)c1ccc(cc1)C(C)C,256.15
O=N(=O)C(Cl)(Cl)Cl,209.15
ClC(Cl)F,138.15
Clc1ccccc1CN2OCC(C)(C)C2=O,298.15
ClC(F)(F)C(Cl)(Cl)C(F)(F)F,268.85
OCCCCCCCCCCCCCCCCCCCC,339.25
CC(C)C1CC1,160.25
Brc1ccc(I)cc1,365.15
Nc1ncccc1,330.65
ClC(Cl)[Si](Cl)(C)C,225.15
CCCOC(=O)c1ccccc1,221.55
O=C(Cc1ccccc1)Cc2ccccc2,308.15
CCC=Cc1ccccc1,230.05
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,693.15
OC1CCCC1,254.15
C=CCc1ccc2OCOc2c1,284.35
CCCCCCC(O)C,311.75
CC1=NCCN1,380.15
OCCCCCCCCCCC,292.15
C#CCCCC,141.25
ClC1=C(Cl)C(F)(F)C(F)(F)C(F)(F)C1(F)F,203.15
FC(F)(F)C(Cl)(F)C(Cl)(F)C(F)(F)F,205.15
Cl[Si](Cl)(Cl)Cl,203.15
CCCCCCCCCCC(O)C,292.15
OCc1ccc(Cl)cc1,348.15
Cc1cccc2CCCCc12,250.15
COc1ccc(O)cc1,330.15
O=C1CCCCC1C2CCCCC2,241.15
SCCCCS,219.25
O=N(=O)c1cccc2ccccc12,334.15
Clc1ccc(I)cc1,330.15
Oc1ccc(C)c(C)c1,333.95
O=C(C)Nc1cnccc1,406.15
CC1CCCC(C)C1C,206.25
CC1CCC(C)CC1,186.15
CCc1cccc(CC)c1N,276.65
C=CCCCCCCCCC(=O)OCC,235.15
Clc1cccc(c1)c2cccc(Cl)c2,302.15
CC(C)O[Si](OC(C)C)(OC(C)C)OC(C)C,293.15
BrCc1ccccc1C,294.15
O=C(C)OC1CC2CCC1(C)C2(C)C,302.15
Cc1ccc(N)c(Cl)c1,280.15
Brc1ccccc1C,245.35
Cc1ccc(cc1)C(=C)C,253.15
CCCC(C)(C)C,149.35
COc1cccc(OC)c1OC,321.65
COC(=O)c1cnccc1,315.65
NCCCCCN,282.15
O=N(=O)C1=CC=CS1,319.65
CC1CC(C)S(=O)(=O)C1,270.15
O=CCCc1ccccc1,320.15
ClC(Cl)(Cl)Br,267.45
CCCCCCCCCCCCc1ccccc1,276.15
CCCN(CCC)CCC,179.65
C=CCCCCC,153.45
CC1(C)CCC(C)(C)C1,184.75
O=N(=O)C1=CSC=C1,351.65
CCCCCCCCCCCCCCCCCCc1ccccc1,302.15
C1CCc2ccncc2C1,419.65
Cc1ccc2ccccc2c1,307.55
COC(=O)c1ccccc1O,265.15
CCCCCC1CCCC1,190.15
O=C(C)C(C)(C)C(=O)C,292.15
OCC=Cc1ccccc1,306.15
Nc1cccc2ccccc12,322.35
CCC(=O)N,354.45
CC1CCC(C(C)C)C(=O)C1,267.15
COC(=O)N,327.15
O=Cc1ccc(C)cc1,267.15
CC(C=Cc1ccccc1)c2ccccc2,320.65
OCCOCCOCCOCCCC,243.15
ClC(Br)Br,253.15
N#CCc1ccc(C)cc1,291.15
CC(C)c1ccncc1,218.25
N#CC(C#N)=C(C#N)C#N,472.15
CCCCC1CCCCC1,198.45
CC(C)CS(=O)(=O)CC(C)C,290.15
CCCCCCCCCC(=O)OC,497.15
O=C(O)C12C3CC(CC13)C2(C)C,424.45
Oc1ccc(Cl)c(Cl)c1,341.15
Cc1cc(Cl)c(Cl)c(Cl)c1,318.65
ClCC(C)OC(C)CCl,176.15
O=N(=O)c1ccc(cc1)N(=O)=O,447.15
CCCCCc1ccc(O)cc1,296.15
CCCC(C)C(O)CC,150.15
Clc1ccc(N(=O)=O)c(Cl)c1,307.15
CCCCOCCOCCCC,204.05
CCc1cc(C)cc(C)c1,188.85
FC(F)C(F)F,184.15
CCOP(=O)(OCC)N(C)C,281.45
ClCC(Cl)C(=O)O,323.15
N#CO,187.15
N1CCCCC1,262.12
Nc1ccncc1,431.65
ClP(Cl)c1ccccc1,222.15
Brc1ccc(cc1)c2ccc(Br)cc2,437.15
CCC(S)(C)C,169.15
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,504.95
C#CCCCCCCCCCCCCCC,288.15
O=C1CCc2ccccc2O1,298.15
Ic1ccc(C)cc1,309.65
Cc1ccc2cccc(O)c2n1,346.95
ClC(Cl)C(=O)c1ccccc1,293.65
C1CCC(CC1)c2ccccc2,280.45
CCCC(O)C(CO)CC,233.15
Cc1cc(C)c(Br)c(C)c1,272.15
Clc1ccc(cc1)Cc2ccccc2,280.65
O=COCCCCCC,210.55
O=C(C)N(C)C(=O)C,248.15
Oc1ccc(C)c(C)c1Cl,300.15
O=C=Nc1ccc(cc1)c2ccccc2,329.15
Clc1ccc(Cl)c(Cl)c1,290.15
C=CC(C)(C)CC,138.85
CC1=CCC(CC1)C(O)(C)C,313.65
O=C1Nc2ccccc2C1(C)C,427.45
CC1=CC=C(C)N1,280.85
O=Cc1ccc(OC)c(OC)c1,316.15
CN(C)CCN(C)C,218.15
O=CC(Cl)(Cl)Cl,215.65
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1C,497.95
COc1ccc(cc1)C(=O)N,439.65
COC(=O)CCCC(=O)OC,230.65
ICCI,356.15
C=COCCCC,181.15
n1ccc(cc1)c2ccncc2,384.15
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,193.15
O=CC(=C)C,192.15
SCc1ccccc1,243.15
CCN(CC)c1ccc(Br)cc1,311.15
CC(C)(C)c1ccccc1,215.35
c1ccc2cccnc2c1,258.37
Cc1ccc(O)c(C)c1,297.65
CC=CC(C)C(C)C=CC,208.35
ClCC(Cl)(Cl)C(Cl)(Cl)Cl,299.15
O1CCN(CC1)Cc2ccccc2,467.15
C1=CCCC=CCC1,216.75
CCCCCCCOC(=O)CCCCCCC,262.55
C=CCCCC,133.45
CCSCC,169.25
CN1CCCCC1,255.05
c1ccc(cc1)Nc2ccccc2,326.05
CCc1cnccc1,196.25
CCc1c(CC)c(CC)c(CC)c(CC)c1CC,402.15
Clc1cc(Cl)c(N)c(Br)c1,356.65
O=Cc1c(C)cc(C)cc1C,287.15
Nc1ccc(C)c(Br)c1,299.15
N#Cc1ccccc1N,324.15
ICCC,171.85
C=CCCCC(=O)O,236.15
ClCc1ccccc1Cl,256.15
CN(C)c1ccccc1N(C)C,282.05
c1ccc(cc1)c2ccc(cc2)c3ccccc3,483.25
CCS(=O)(=O)CC,346.65
ICCCCCCCCCCCCCCCCCC,307.15
CCc1ccc(C)c(C)c1,206.25
Cc1cnc2ccccc2c1C,346.65
OCc1cccc(C)c1,253.15
CC(C)c1cccc(C)c1O,258.65
O=C1CCc2ccccc12,315.15
O=C(O)C(Cl)Br,304.65
CCCc1cccc(CCC)c1O,300.15
CC1NCCCC1,268.55
OCC(=O)C,256.15
O=C(NNc1ccccc1)c2ccccc2,441.15
Clc1ccc(cc1)S(=O)(=O)Sc2ccccc2,186.35
C1CCc2c(C1)ccc3CCCCc23,289.85
